lat,lon,Region,historic_forest_change,proj_forest_change
-12.0,-70.0,Amazon,-0.19617499993476883,-0.9050408452149676
-12.0,-72.0,Amazon,-0.10720000018802978,
-12.0,-68.0,Amazon,-0.03247500013735305,
-10.0,-74.0,Amazon,-13.390374995991081,-37.33001596866409
-10.0,-70.0,Amazon,-0.01500000006370783,-99.91000320560038
-12.0,-60.0,Amazon,-0.020000000030790943,-1.2599740480271113
-12.0,-66.0,Amazon,-0.049999999994454924,
-12.0,-64.0,Amazon,-30.374950014238387,-1.144975253623378
-10.0,-66.0,Amazon,-1.1622749992648949,
-10.0,-64.0,Amazon,-48.3321749947789,
-10.0,-62.0,Amazon,-9.196624995986355,-0.010000363677083842
-10.0,-60.0,Amazon,-2.6114500034252046,
-10.0,-58.0,Amazon,-56.140724989355796,-1.315034303042875
-8.0,-64.0,Amazon,-18.10717498954824,
-8.0,-66.0,Amazon,-2.249149999532122,
-12.0,-52.0,Amazon,-6.654775005211576,-1.815026492837497
-10.0,-54.0,Amazon,-20.8520500056822,-0.6399755093083443
-10.0,-52.0,Amazon,-7.810575005257078,-14.874519118365445
-8.0,-58.0,Amazon,-0.027474999990900528,-0.2599948900979947
-8.0,-56.0,Amazon,-0.39744999991002317,
-8.0,-54.0,Amazon,-0.9487249997924181,-1.2150110790748925
-8.0,-62.0,Amazon,-2.1072249984478333,
-8.0,-60.0,Amazon,-0.012500000013147883,
-6.0,-66.0,Amazon,-7.247535904753022e-12,
-6.0,-62.0,Amazon,-1.5832500019899527,-0.6199886835359839
-6.0,-60.0,Amazon,-0.3274750008845473,
-6.0,-64.0,Amazon,-0.005000000268850613,-6.629850681871439
-6.0,-58.0,Amazon,-0.7208750002059077,
-4.0,-64.0,Amazon,-0.004999999999540705,
-4.0,-60.0,Amazon,-16.041574991679298,-0.29000341143008307
-4.0,-62.0,Amazon,-0.0825250001672373,-97.11999392038918
-8.0,-52.0,Amazon,-0.0873500000733003,-0.06499729204415844
-6.0,-50.0,Amazon,-1.2969250002654036,-0.34498958089867326
-6.0,-56.0,Amazon,-0.27987499991591847,-0.27500585598084476
-6.0,-52.0,Amazon,-10.442400007153196,-16.769626117715767
-6.0,-54.0,Amazon,-1.051675001480902,-0.5249896173745089
-4.0,-56.0,Amazon,-3.148550007812105,-3.8149638017169893
-4.0,-52.0,Amazon,-0.10672500007065366,-0.12000266129315827
-4.0,-54.0,Amazon,-40.29795000161888,-1.2950123841928434
-4.0,-50.0,Amazon,-4.987625001027425,-0.029999494575403275
-4.0,-48.0,Amazon,-47.44569998532325,-0.020000284601252
-8.0,-76.0,Amazon,-1.4565999992281746,-33.950004865856194
-10.0,-72.0,Amazon,-7.047162853268674e-11,-42.60155412279822
-8.0,-72.0,Amazon,-0.027500002304279292,
-8.0,-74.0,Amazon,-0.07210000003951222,
-8.0,-70.0,Amazon,-3.8517999980005015,-22.605071579194465
-8.0,-68.0,Amazon,-0.012499999993394795,
-6.0,-72.0,Amazon,-0.012474999995461644,
-6.0,-74.0,Amazon,-0.15722500009228213,-32.54000086888152
-6.0,-70.0,Amazon,-0.007500000006629648,
-6.0,-68.0,Amazon,-0.00499999999829015,-23.640011242848168
-6.0,-76.0,Amazon,-19.84244999346126,-2.775022960722136
-4.0,-78.0,Amazon,-0.13159999992674898,-1.5500246780318028
-4.0,-76.0,Amazon,-8.256506589532364e-12,-32.92496328586793
-2.0,-78.0,Amazon,-7.61947500061531,-33.09492889972094
-2.0,-76.0,Amazon,-0.02249999998575447,
-4.0,-74.0,Amazon,-0.012499999992101607,-0.4449910308032758
-4.0,-66.0,Amazon,-6.622258297284134e-12,
-4.0,-70.0,Amazon,-0.2071250022298159,-49.06459375012737
-4.0,-68.0,Amazon,-0.9017999996747221,-16.99474090331936
-4.0,-72.0,Amazon,-0.5671999997835542,
-2.0,-70.0,Amazon,-0.02232500005050042,
-2.0,-74.0,Amazon,-0.050000000015401724,
-2.0,-72.0,Amazon,-0.0049999999977501375,-49.99950028747407
-2.0,-68.0,Amazon,-0.005000000003306582,-6.270057314391335
0.0,-74.0,Amazon,-2.6005864128819667e-12,
-4.0,-58.0,Amazon,-0.005000000185575004,-0.6399981086419131
-2.0,-52.0,Amazon,-8.780474998669291,-0.9100022541740512
-2.0,-50.0,Amazon,-30.899874979780677,-13.990000187553072
0.0,-54.0,Amazon,-9.00968188943807e-12,-0.06999969479412715
0.0,-56.0,Amazon,-0.023800000009714495,-0.38999938941553264
0.0,-52.0,Amazon,-1.0522999993629725,-0.22999954234670578
2.0,-52.0,Amazon,-0.11197499999157401,
-2.0,-62.0,Amazon,-2.690974998523643,
-2.0,-64.0,Amazon,-0.005000000017432171,
-2.0,-60.0,Amazon,-21.27367498631412,-1.33000293048238
-2.0,-66.0,Amazon,-0.36204999978180297,-39.324605840400736
-2.0,-58.0,Amazon,-0.004999999998858584,-0.5850009418611966
0.0,-64.0,Amazon,-0.004725000134001789,
0.0,-60.0,Amazon,-0.017425000117341938,
0.0,-62.0,Amazon,-0.022500000544496856,-1.2600002285679022
0.0,-58.0,Amazon,-0.01244999999745744,
0.0,-72.0,Amazon,-0.007500000002579554,
0.0,-76.0,Amazon,-0.002500000039248107,
0.0,-70.0,Amazon,-4.6057380131969694e-10,
